               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11406,             0.02777,                   0,          0.00083333,                0.22,          0.00066458,          0.00022225,            0.095363,            0.016428,                   0,              0.0856,              0.0016,              0.0016
                   1,            0.093514,            0.022363,                   0,           0.0022727,                 0.6,            0.011327,           0.0030079,            0.080403,            0.012605,                   0,            0.070191,           0.0031911,           0.0031911
                   2,            0.079479,            0.021249,                   0,             0.22825,                0.28,             0.13235,            0.034661,            0.073357,            0.011037,                   0,             0.05467,             0.00467,             0.00467
                   3,            0.071363,            0.021372,                   0,              0.2888,                0.24,             0.20685,            0.047694,              0.0685,            0.010064,                   0,            0.039037,           0.0060367,           0.0060367
                   4,            0.063432,            0.019485,                   0,             0.54962,                 0.3,              0.4125,             0.11744,             0.07095,           0.0087595,                   0,            0.023291,           0.0072912,           0.0072912
                   5,             0.05924,            0.018522,                   0,             0.35331,                0.54,             0.31746,             0.11012,            0.059272,            0.008502,                   0,             0.00835,             0.00835,             0.00835
                   6,            0.057315,            0.017652,                   0,             0.57571,                0.46,             0.58314,             0.20816,            0.058222,           0.0079079,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.053404,            0.016424,                   0,             0.65972,             0.58166,             0.66784,             0.24215,            0.052224,           0.0076656,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.049299,            0.015357,                   0,             0.52187,                0.68,             0.62598,              0.2891,             0.05075,           0.0069952,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.046848,            0.014737,                   0,             0.77514,                0.78,             0.76643,             0.26694,            0.047507,           0.0064335,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.045203,            0.013076,                   0,             0.81068,             0.77085,             0.80166,             0.35837,            0.048876,           0.0056562,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.042305,            0.012356,                   0,             0.86421,                0.78,             0.84088,             0.34098,             0.04503,           0.0054579,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.042849,             0.01246,                   0,             0.89415,                0.86,             0.87012,              0.3921,             0.04262,           0.0052738,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.041787,            0.010983,                   0,             0.92086,                0.86,              0.8961,             0.39827,            0.044024,           0.0050001,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.038613,             0.01047,                   0,             0.93469,             0.85878,             0.90112,             0.44625,            0.039895,           0.0048294,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.037909,            0.010753,                   0,             0.90656,                0.84,             0.86768,               0.444,            0.041217,           0.0047531,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.037206,           0.0098591,                   0,             0.86049,             0.86354,             0.87961,             0.41551,            0.043705,            0.004612,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.036915,            0.010172,                   0,             0.91657,             0.87893,             0.90434,             0.43929,            0.041377,           0.0045547,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.035232,            0.009299,                   0,             0.89761,             0.87672,               0.893,             0.45913,            0.041623,           0.0043302,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.033359,           0.0095546,                   0,             0.91618,             0.87448,             0.89934,             0.48097,            0.040826,           0.0043135,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.034071,           0.0092522,                   0,             0.97603,                0.82,             0.87463,             0.47392,            0.040452,           0.0042148,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.033095,           0.0088594,                   0,             0.91469,             0.85778,             0.90775,             0.48349,            0.038691,           0.0041914,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.030716,           0.0088411,                   0,             0.97575,                0.86,             0.91313,             0.48753,            0.038307,           0.0041838,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.031461,           0.0085922,                   0,             0.95422,             0.83391,             0.89026,             0.46288,            0.038468,           0.0041771,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.030298,           0.0088148,                   0,             0.93475,             0.85962,             0.92636,             0.48133,            0.036842,           0.0041628,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.031049,           0.0087866,                   0,             0.91228,                0.86,             0.91502,             0.48039,            0.037111,           0.0041409,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.030992,           0.0085218,                   0,             0.91319,                0.86,             0.90522,             0.50208,            0.037364,           0.0040846,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.029455,           0.0088634,                   0,             0.95506,             0.85028,             0.92273,             0.50413,            0.036782,           0.0040627,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.029054,           0.0086643,                   0,             0.95015,                0.86,             0.91562,              0.4961,            0.036781,           0.0040655,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.028483,           0.0082661,                   0,             0.94979,                0.86,             0.91429,             0.48982,            0.037738,           0.0040865,                   0,             0.00076,             0.00076,             0.00076
